id;secteur;sous_secteur;code;nom;version;date_debut;date_fin
AGRI-EQ-101vA14-1;AGRI;EQ;AGRI-EQ-101;Module d'intégration de température installé sur un ordinateur climatique;A14-1;2015-01-01;
AGRI-EQ-102vA65-2;AGRI;EQ;AGRI-EQ-102;Double écran thermique;A65-2;2025-04-01;
AGRI-EQ-104vA62-2;AGRI;EQ;AGRI-EQ-104;Ecrans thermiques latéraux;A62-2;2025-01-01;
AGRI-EQ-105vA28-1;AGRI;EQ;AGRI-EQ-105;Stop & Start pour véhicules agricoles à moteur;A28-1;2018-12-06;
AGRI-EQ-106vA32-1;AGRI;EQ;AGRI-EQ-106;Régulation de la ventilation des silos et des installations de stockage en vrac de céréales;A32-1;2020-01-10;
AGRI-EQ-107vA38-1;AGRI;EQ;AGRI-EQ-107;Isolation des parois de serre;A38-1;2023-06-13;
AGRI-EQ-108vA58-2;AGRI;EQ;AGRI-EQ-108;Stockage d'eau pour une serre bioclimatique;A58-2;2015-01-01;
AGRI-EQ-109vA58-2;AGRI;EQ;AGRI-EQ-109;Couverture performante de serre;A58-2;2015-01-01;
AGRI-EQ-110vA38-1;AGRI;EQ;AGRI-EQ-110;Séchage solaire par insufflation des produits et co-produits agricoles et forestiers utilisant des panneaux solaires hybrides;A38-1;2018-12-06;
AGRI-EQ-111vA62-1;AGRI;EQ;AGRI-EQ-111;Simple écran thermique;A62-1;2024-08-31;
AGRI-EQ-112vA65-2;AGRI;EQ;AGRI-EQ-112;Double paroi gonflable;A65-2;2025-01-01;
AGRI-SE-101vA40-2;AGRI;SE;AGRI-SE-101;Contrôle et préconisations de réglage du moteur d'un tracteur;A40-2;2016-02-08;
AGRI-TH-101vA62-2;AGRI;TH;AGRI-TH-101;Dispositif de stockage d'eau chaude de type « Open Buffer »;A62-2;2025-01-01;
AGRI-TH-102vA14-1;AGRI;TH;AGRI-TH-102;Dispositif de stockage d'eau chaude;A14-1;2015-01-01;
AGRI-TH-103vA15-1;AGRI;TH;AGRI-TH-103;Pré-refroidisseur de lait;A15-1;2015-01-01;
AGRI-TH-104vA35-1;AGRI;TH;AGRI-TH-104;Système de récupération de chaleur sur un groupe de production de froid hors tanks à lait;A35-1;2020-07-24;
